Start,Generated rewards,Locked,Claimable,Identifier,Yield type,Validator identifier,Asset identifier,Internal account name,Internal account tags,Platform
2025-02-13T00:00:00,4795.025335,14820324.958603,0,aleo16hlmhhacvz60amg4fvderydgh7j7204ehl2zxha5al45k6lu35ysw7f7j6,REWARD,aleo1n6c5ugxk6tp09vkrjegcpcprssdfcf7283agcdtt8gu9qex2c5xs9c28ay,native,Aleo Delegator,ENTITY 2;CLIENT A CEFI,ALEO
2025-02-14T00:00:00,4791.166245,14825119.983938,0,aleo16hlmhhacvz60amg4fvderydgh7j7204ehl2zxha5al45k6lu35ysw7f7j6,REWARD,aleo1n6c5ugxk6tp09vkrjegcpcprssdfcf7283agcdtt8gu9qex2c5xs9c28ay,native,Aleo Delegator,ENTITY 2;CLIENT A CEFI,ALEO
2025-02-15T00:00:00,0,,,aleo16hlmhhacvz60amg4fvderydgh7j7204ehl2zxha5al45k6lu35ysw7f7j6,REWARD,,native,Aleo Delegator,ENTITY 2;CLIENT A CEFI,ALEO
2025-02-10T00:00:00,0.896819,17679.846238,7.629664,0xa62197444b71ba63354ab65518c692ad4777179285a7150e4dc62f7b34415e1c,REWARD,0xa62197444b71ba63354ab65518c692ad4777179285a7150e4dc62f7b34415e1c_0x432188e3cb4f8ee79ed0aae294fcea564b24940c80c6c4bcc260e689025804bd,0x2::sui::sui,SUI Validator,VALIDATOR,SUI
2025-02-11T00:00:00,0.94537,18474.000947,8.526483,0xa62197444b71ba63354ab65518c692ad4777179285a7150e4dc62f7b34415e1c,REWARD,0xa62197444b71ba63354ab65518c692ad4777179285a7150e4dc62f7b34415e1c_0x432188e3cb4f8ee79ed0aae294fcea564b24940c80c6c4bcc260e689025804bd,0x2::sui::sui,SUI Validator,VALIDATOR,SUI
2025-02-12T00:00:00,0.997206,19267.144471,9.471853,0xa62197444b71ba63354ab65518c692ad4777179285a7150e4dc62f7b34415e1c,REWARD,0xa62197444b71ba63354ab65518c692ad4777179285a7150e4dc62f7b34415e1c_0x432188e3cb4f8ee79ed0aae294fcea564b24940c80c6c4bcc260e689025804bd,0x2::sui::sui,SUI Validator,VALIDATOR,SUI
2025-02-13T00:00:00,1.045835,20062.052128,10.469059,0xa62197444b71ba63354ab65518c692ad4777179285a7150e4dc62f7b34415e1c,REWARD,0xa62197444b71ba63354ab65518c692ad4777179285a7150e4dc62f7b34415e1c_0x432188e3cb4f8ee79ed0aae294fcea564b24940c80c6c4bcc260e689025804bd,0x2::sui::sui,SUI Validator,VALIDATOR,SUI
2025-02-14T00:00:00,1.09311,20856.037877,11.514893,0xa62197444b71ba63354ab65518c692ad4777179285a7150e4dc62f7b34415e1c,REWARD,0xa62197444b71ba63354ab65518c692ad4777179285a7150e4dc62f7b34415e1c_0x432188e3cb4f8ee79ed0aae294fcea564b24940c80c6c4bcc260e689025804bd,0x2::sui::sui,SUI Validator,VALIDATOR,SUI
2025-02-15T00:00:00,1.142243,21648.248277,12.608003,0xa62197444b71ba63354ab65518c692ad4777179285a7150e4dc62f7b34415e1c,REWARD,0xa62197444b71ba63354ab65518c692ad4777179285a7150e4dc62f7b34415e1c_0x432188e3cb4f8ee79ed0aae294fcea564b24940c80c6c4bcc260e689025804bd,0x2::sui::sui,SUI Validator,VALIDATOR,SUI
2025-02-16T00:00:00,1.192071,22440.20547,13.750246,0xa62197444b71ba63354ab65518c692ad4777179285a7150e4dc62f7b34415e1c,REWARD,0xa62197444b71ba63354ab65518c692ad4777179285a7150e4dc62f7b34415e1c_0x432188e3cb4f8ee79ed0aae294fcea564b24940c80c6c4bcc260e689025804bd,0x2::sui::sui,SUI Validator,VALIDATOR,SUI
